所屬店家,飲料名稱,描述,奶類,小杯,小杯價格,中杯,中杯價格,大杯,大杯價格,茶類,配料,飲料名稱
小職人 師大店,奶青,,奶精,無,,有,55,有,60,青茶,無,奶青
小職人 師大店,奶綠,,奶精,無,,有,55,有,60,綠茶,無,奶綠
小職人 師大店,焙烏龍奶茶,,奶精,無,,有,55,有,60,烏龍茶,無,焙烏龍奶茶
小職人 師大店,海洛因奶茶,仙草,奶精,無,,有,55,有,60,鐵觀音,有,海洛因奶茶
小職人 師大店,復古鮮奶茶,,鮮奶,無,,有,60,有,65,紅茶,無,復古鮮奶茶
小職人 師大店,伯爵鮮奶茶,,鮮奶,無,,有,60,有,65,紅茶,無,伯爵鮮奶茶
小職人 師大店,冠軍鮮奶茶,,鮮奶,無,,有,60,有,65,紅茶,無,冠軍鮮奶茶
小職人 師大店,皇牌鮮奶茶,,鮮奶,無,,有,60,有,65,紅茶,無,皇牌鮮奶茶
小職人 師大店,麥茶鮮奶茶,,鮮奶,無,,有,60,有,65,麥茶,無,麥茶鮮奶茶
小職人 師大店,焙烏龍鮮奶茶,,鮮奶,無,,有,60,有,65,烏龍茶,無,焙烏龍鮮奶茶
小職人 師大店,烏龍青鮮奶茶,,鮮奶,無,,有,60,有,65,烏龍茶,無,烏龍青鮮奶茶
小職人 師大店,公爵鮮奶茶,,鮮奶,無,,有,60,有,65,紅茶,無,公爵鮮奶茶
小職人 師大店,鮮奶綠,,鮮奶,無,,有,60,有,65,綠茶,無,鮮奶綠
小職人 師大店,鮮奶青,,鮮奶,無,,有,60,有,65,青茶,無,鮮奶青
小職人 師大店,超濃鮮奶茶,,鮮奶,無,,有,70,有,80,紅茶,無,超濃鮮奶茶
小職人 師大店,珍珠鮮奶,,鮮奶,無,,有,75,有,95,其他,有,珍珠鮮奶
茶壜 師大店,寶石紅茶拿鐵(輕盈),,鮮奶,無,,有,50,有,60,紅茶,無,寶石紅茶拿鐵(輕盈)
茶壜 師大店,天池紅茶拿鐵(濃郁),,鮮奶,無,,有,50,有,60,紅茶,無,天池紅茶拿鐵(濃郁)
茶壜 師大店,金萱拿鐵,,鮮奶,無,,有,50,有,60,烏龍茶,無,金萱拿鐵
茶壜 師大店,綠茶拿鐵,,鮮奶,無,,有,50,有,60,綠茶,無,綠茶拿鐵
茶壜 師大店,青茶拿鐵,,鮮奶,無,,有,50,有,60,青茶,無,青茶拿鐵
茶壜 師大店,桂花拿鐵,,鮮奶,無,,有,50,有,60,其他,無,桂花拿鐵
茶壜 師大店,蔗香紅拿鐵,,鮮奶,無,,有,50,有,60,紅茶,無,蔗香紅拿鐵
茶壜 師大店,蜂蜜波霸鮮奶,,鮮奶,無,,有,65,無,,其他,有,蜂蜜波霸鮮奶
茶壜 師大店,黑糖波霸鮮奶,,鮮奶,無,,有,65,無,,其他,有,黑糖波霸鮮奶
茶壜 師大店,鮮奶仙草凍,,鮮奶,無,,有,65,無,,其他,有,鮮奶仙草凍
茶壜 師大店,招牌鮮奶,,奶精,無,,無,,有,50,其他,無,招牌鮮奶
茶壜 師大店,冬瓜奶茶,,奶精,無,,無,,有,50,其他,無,冬瓜奶茶
茶壜 師大店,蔗香紅奶茶,,奶精,無,,無,,有,50,紅茶,無,蔗香紅奶茶
茶壜 師大店,金萱奶茶,,奶精,無,,無,,有,50,烏龍茶,無,金萱奶茶
茶壜 師大店,奶綠,,奶精,無,,無,,有,50,綠茶,無,奶綠
茶壜 師大店,奶青,,奶精,無,,無,,有,50,青茶,無,奶青
茶壜 師大店,桂花奶茶,,奶精,無,,無,,有,50,紅茶,無,桂花奶茶
茶壜 師大店,蜂蜜奶茶,,奶精,無,,無,,有,55,紅茶,無,蜂蜜奶茶
茶壜 師大店,仙草凍奶茶,,奶精,無,,無,,有,60,紅茶,有,仙草凍奶茶
茶壜 師大店,可可奶茶,,奶精,無,,無,,有,60,其他,無,可可奶茶
茶壜 師大店,珍珠奶茶,,奶精,無,,無,,有,60,紅茶,有,珍珠奶茶
茶壜 師大店,泰式奶茶,,奶精,無,,無,,有,65,紅茶,無,泰式奶茶
茶壜 師大店,芋園奶茶,,奶精,無,,無,,有,60,紅茶,有,芋圓奶茶
茶壜 師大店,芋圓仙草奶,,奶精,無,,無,,有,60,其他,有,芋圓仙草奶
